City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao joao da barra,-21.6403,-41.0511,20.05,78,2,3.8,BR,1686093293
83,nuku'alofa,-21.1333,-175.2,25.19,88,100,2.57,TO,1686093293
84,nabire,-3.3667,135.4833,24.43,92,100,1.41,ID,1686093293
85,summerland,49.5998,-119.6691,28.94,18,0,6.17,CA,1686093293
86,st. john's,47.5649,-52.7093,10.31,98,100,6.69,CA,1686093491
87,bom jesus,-9.0744,-44.3586,28.76,34,57,1.87,BR,1686093293
88,crane,31.3974,-102.3501,29.0,29,86,5.68,US,1686093491
89,happy valley-goose bay,53.3168,-60.3315,6.17,87,100,10.8,CA,1686093492
90,college,64.8569,-147.8028,26.16,24,40,2.06,US,1686093492
91,klyuchi,52.2667,79.1667,20.45,58,31,0.26,RU,1686093492
92,nouadhibou,20.931,-17.0347,21.99,88,0,3.6,MR,1686093294
93,san patricio,28.017,-97.5169,31.76,60,41,4.16,US,1686093492
94,jinchang,38.4953,102.1739,17.95,28,71,3.32,CN,1686093492
95,cacoal,-11.4386,-61.4472,24.51,72,71,1.52,BR,1686093294
96,saint-joseph,-21.3667,55.6167,21.21,81,31,4.07,RE,1686093295
97,arraial do cabo,-22.9661,-42.0278,17.98,94,0,2.57,BR,1686093493
98,gebeit,21.0667,36.3167,30.99,27,82,1.77,SD,1686093493
99,constantia,44.1833,28.65,13.38,65,93,3.61,RO,1686093493
100,machico,32.7,-16.7667,21.67,89,40,4.12,PT,1686093295
101,uturoa,-16.7333,-151.4333,26.5,71,89,7.13,PF,1686093493
102,punta arenas,-53.15,-70.9167,4.06,81,20,4.63,CL,1686093424
103,naestved,55.2299,11.7609,11.19,87,0,1.9,DK,1686093021
104,minas de marcona,-15.2119,-75.1103,14.66,76,3,3.52,PE,1686093494
105,wailua homesteads,22.0669,-159.378,27.24,73,0,5.14,US,1686093494
106,aksaray,38.3726,34.0254,13.32,87,0,2.75,TR,1686093147
107,al ghayzah,16.2079,52.176,27.79,82,5,2.92,YE,1686093296
108,san luis de la loma,17.2706,-100.8939,30.87,56,2,3.39,MX,1686093494
109,pangoa,-12.1167,-73.0,22.38,79,45,1.21,PE,1686093296
110,nar'yan-mar,67.6713,53.087,3.31,88,99,6.24,RU,1686093494
111,taroa,8.7058,171.2275,27.99,84,75,8.85,MH,1686093297
112,lompoc,34.6391,-120.4579,16.08,92,100,3.09,US,1686093495
113,ban phaeo,13.5907,100.1075,30.01,70,100,2.8,TH,1686093297
114,betio village,1.358,172.9211,32.02,76,23,5.92,KI,1686093297
115,harstad,68.799,16.5293,3.97,100,100,1.34,NO,1686093297
116,qaqortoq,60.7167,-46.0333,3.02,92,100,1.54,GL,1686093495
117,daulatpur,26.5015,67.9706,33.92,40,0,2.47,PK,1686093298
118,georgetown,5.4112,100.3354,27.96,85,20,1.54,MY,1686093199
119,afaahiti,-17.75,-149.2833,28.93,75,97,6.57,PF,1686093496
120,antofagasta,-23.65,-70.4,16.6,80,31,2.02,CL,1686093135
121,yellowknife,62.456,-114.3525,12.29,87,75,6.69,CA,1686093496
122,bubanza,-3.1167,29.4,19.94,78,89,1.31,BI,1686093298
123,divino das laranjeiras,-18.7778,-41.4797,21.07,60,54,4.26,BR,1686093298
124,yorkton,51.2167,-102.4677,29.91,51,100,3.09,CA,1686093299
125,hadibu,12.65,54.0333,29.17,80,64,4.56,YE,1686093289
126,baker city,44.7749,-117.8344,28.84,35,0,3.6,US,1686093299
127,khandyga,62.6667,135.6,19.05,56,74,0.44,RU,1686093497
128,hilo,19.7297,-155.09,27.85,76,75,5.14,US,1686093061
129,sume,-7.6717,-36.88,22.49,84,82,2.0,BR,1686093299
130,port alfred,-33.5906,26.891,17.05,36,0,3.95,ZA,1686093497
131,lethem,3.3803,-59.7968,25.77,82,67,1.96,GY,1686093299
132,vorgashor,67.5833,63.95,4.0,93,96,7.32,RU,1686093497
133,bandarbeyla,9.4942,50.8122,27.49,83,97,10.36,SO,1686093300
134,tazacorte,28.629,-17.9293,22.54,85,20,3.09,ES,1686093497
135,conception bay south,47.4999,-52.9981,10.18,97,100,8.5,CA,1686093300
136,pereiaslav-khmelnytskyi,50.0877,31.4795,17.75,63,96,0.3,UA,1686093300
137,alice springs,-23.7,133.8833,18.75,63,76,2.57,AU,1686093498
138,minzhu,43.7286,127.3447,16.33,72,100,2.63,CN,1686093300
139,guane,22.2025,-84.0875,27.66,71,92,2.83,CU,1686093301
140,hwange,-18.3693,26.5019,17.61,42,0,1.34,ZW,1686093301
141,timimoun,29.2639,0.231,22.21,35,0,8.23,DZ,1686093301
142,vila velha,-20.3297,-40.2925,21.08,85,0,1.54,BR,1686093282
143,dudinka,69.4058,86.1778,8.68,57,8,4.0,RU,1686093499
144,tazovsky,67.4667,78.7,11.39,64,85,5.57,RU,1686093125
145,sena madureira,-9.0656,-68.6569,24.1,93,74,0.45,BR,1686093302
146,jacmel,18.2342,-72.5347,30.91,81,96,2.98,HT,1686093302
147,laufen,47.95,12.9333,14.25,82,22,3.09,DE,1686093167
148,naze,28.3667,129.4833,22.51,94,99,2.64,JP,1686093500
149,kruisfontein,-34.0033,24.7314,11.42,43,0,2.77,ZA,1686093302
150,tasqala,51.1167,50.3167,12.08,75,2,3.21,KZ,1686093302
151,loppi,60.7167,24.45,7.95,86,100,2.6,FI,1686093303
152,khovd,48.0056,91.6419,19.65,35,4,1.15,MN,1686093303
153,korla,41.7597,86.1469,23.9,25,23,3.81,CN,1686093500
154,nikolayevsk-on-amure,53.1406,140.73,18.13,60,16,1.47,RU,1686093303
155,dakhla,23.6848,-15.958,21.8,90,1,3.45,EH,1686093345
156,ushuaia,-54.8,-68.3,5.79,93,75,8.23,AR,1686093296
157,stanley,54.868,-1.6985,10.29,84,75,2.06,GB,1686093501
158,koprubasi,40.8086,40.1238,17.8,90,56,0.57,TR,1686093304
159,magadan,59.5667,150.8,16.41,67,70,1.65,RU,1686093075
160,plock,52.5468,19.7064,17.27,72,98,2.06,PL,1686093232
161,new norfolk,-42.7826,147.0587,12.73,91,27,0.97,AU,1686093501
162,avarua,-21.2078,-159.775,25.03,57,75,3.6,CK,1686093501
163,daru,-9.0763,143.2092,26.51,89,98,5.87,PG,1686093304
164,merritt,50.1123,-120.7942,27.96,13,0,1.79,CA,1686093502
165,ghat,24.9647,10.1728,29.33,20,28,6.0,LY,1686093502
166,ribeira grande,38.5167,-28.7,18.76,79,22,8.05,PT,1686093502
167,ladario,-19.0047,-57.6017,22.41,58,0,1.68,BR,1686093305
168,ilulissat,69.2167,-51.1,0.01,86,100,2.57,GL,1686093502
169,geraldton,-28.7667,114.6,12.23,87,100,3.6,AU,1686093502
170,aykhal,66.0,111.5,4.49,58,4,5.49,RU,1686093503
171,aasiaat,68.7098,-52.8699,-0.62,74,95,2.93,GL,1686093503
172,ust-nera,64.5667,143.2,7.72,91,100,3.38,RU,1686093503
173,mahibadhoo,3.7833,72.9667,28.71,76,97,6.69,MV,1686093503
174,udachny,66.4167,112.4,6.36,56,5,5.15,RU,1686093503
175,vilyuysk,63.7553,121.6247,11.3,54,17,2.22,RU,1686093306
176,saldanha,-33.0117,17.9442,12.24,79,0,4.36,ZA,1686093504
177,paracuru,-3.41,-39.0306,27.84,80,4,4.33,BR,1686093221
178,sabang,5.8933,95.3214,28.42,76,100,10.58,ID,1686093306
179,gorontalo,0.5412,123.0595,25.6,86,96,1.25,ID,1686093306
180,nalut,30.3333,10.85,23.41,57,88,4.82,LY,1686093307
181,susuman,62.7833,148.1667,14.47,50,55,3.83,RU,1686093504
182,tchintabaraden,15.8969,5.7985,31.59,30,80,4.86,NE,1686093307
183,fada,9.5667,8.3,21.39,95,94,1.24,NG,1686093307
184,kwale,5.7063,6.4374,22.78,99,100,0.64,NG,1686093307
185,umm kaddadah,13.6017,26.6876,26.45,60,96,3.44,SD,1686093307
186,freetown,8.484,-13.2299,26.45,86,100,1.49,SL,1686093307
187,figuig (centre),32.1089,-1.2286,25.48,36,95,4.89,MA,1686093308
188,sibolga,1.7427,98.7792,24.57,83,99,1.49,ID,1686093308
189,anar darah,32.7587,61.654,26.54,14,0,3.84,AF,1686093308
190,portland,45.5234,-122.6762,34.93,27,20,4.12,US,1686093305
191,selfoss,63.9331,-20.9971,6.14,74,15,3.61,IS,1686093505
192,tolanaro,-25.0319,46.9987,19.54,93,8,2.55,MG,1686093505
193,qui nhon,13.7667,109.2333,26.99,78,98,2.13,VN,1686093506
194,qarauyl,48.9451,79.255,20.24,35,26,3.97,KZ,1686093309
195,sitka,57.0531,-135.33,12.94,71,75,3.09,US,1686093506
196,dali,25.7,100.1833,16.58,93,21,0.9,CN,1686093064
197,tempio pausania,40.8974,9.1035,16.51,94,81,1.19,IT,1686093309
198,chibougamau,49.9168,-74.3659,13.79,38,75,7.2,CA,1686093506
199,brisas de zicatela,15.8369,-97.0419,31.29,70,40,3.6,MX,1686093310
200,kill devil hills,36.0307,-75.676,25.01,65,0,2.57,US,1686093507
201,faya-largeau,17.9257,19.1043,29.89,43,28,5.09,TD,1686093310
202,ola,59.5833,151.2833,16.75,65,82,1.93,RU,1686093507
203,kailua-kona,19.6406,-155.9956,27.98,72,75,4.12,US,1686093226
204,vadso,70.0744,29.7487,4.49,75,100,3.6,NO,1686093507
205,elliot,-31.3333,27.85,7.53,34,0,3.79,ZA,1686093310
206,christchurch,-43.5333,172.6333,10.23,89,13,2.57,NZ,1686093311
207,marsa alam,25.0757,34.8918,29.59,37,2,3.34,EG,1686093311
208,yambio,4.5721,28.3955,19.27,96,19,0.89,SS,1686093311
209,wani,20.0667,78.95,33.9,28,31,2.75,IN,1686093311
210,kavaratti,10.5669,72.642,29.82,74,95,8.35,IN,1686093508
211,tukrah,32.5341,20.5791,23.63,53,7,5.7,LY,1686093311
212,cidreira,-30.1811,-50.2056,18.17,86,0,5.94,BR,1686093508
213,flin flon,54.7682,-101.865,18.91,82,100,3.6,CA,1686093509
214,vilyuchinsk,52.9306,158.4028,15.15,79,91,2.48,RU,1686093509
215,gamboru,12.3707,14.2173,28.06,60,100,4.59,NG,1686093312
216,kiunga,-6.1219,141.2906,25.2,93,71,0.9,PG,1686093312
217,sisimiut,66.9395,-53.6735,-0.68,74,80,3.39,GL,1686093509
218,kaduy,59.2,37.15,6.74,65,64,0.99,RU,1686093312
219,kodiak,57.79,-152.4072,7.73,93,100,4.63,US,1686093510
220,piti village,13.4626,144.6933,30.49,73,75,9.26,GU,1686093313
221,yakeshi,49.2833,120.7333,8.17,91,100,5.27,CN,1686093313
222,salalah,17.0151,54.0924,29.05,84,20,2.06,OM,1686093239
223,morehead city,34.7229,-76.726,25.01,83,0,9.77,US,1686093313
224,mossel bay,-34.1831,22.146,7.96,58,0,2.72,ZA,1686093313
225,bougouni,11.417,-7.479,29.69,51,100,3.17,ML,1686093313
226,ghanzi,-21.5667,21.7833,18.6,25,0,2.81,BW,1686093511
227,yuzhno-kurilsk,44.0306,145.8556,12.82,86,100,2.78,RU,1686093511
228,tabou,4.423,-7.3528,25.32,89,100,4.48,CI,1686093314
229,porto novo,6.4965,2.6036,24.9,88,100,2.64,BJ,1686093511
230,mostar,43.3433,17.8081,17.9,88,20,1.54,BA,1686093162
231,lebu,-37.6167,-73.65,11.51,87,100,4.17,CL,1686093511
